;Eski Tak?m?;Yeni Tak?m?;Ödenen Ücret(€);Transfer ?ekli
Oghenekaro Etebo;Stoke City;Galatasaray;675000;Kiral?k
Arda Turan;Barcelona;Galatasaray;0;Sat?n Alma
Emre K?l?nç;Sivasspor;Galatasaray;0;Sat?n Alma
Fatih Öztürk;Kas?mpa?a;Galatasaray;0;Sat?n Alma
Omar Elabdellaoui;Olimpiakos;Galatasaray;0;Sat?n Alma
Kerem Aktürkoglu;24 Erzincanspor;Galatasaray;0;Sat?n Alma
Ogulcan Caglayan;Kulüpsüz;Galatasaray;0;Sat?n Alma
Maicon;Galatasaray;Al-Nasr Riyad;1430000;Sat?n Alma
Jimmy Durmaz;Galatasaray;Fatih Karagümrük;291000;Kiral?k
Birhan Vatansever;Galatasaray;Alt?nordu;0;Sat?n Alma
Atalay Babacan;Galatasaray;Adanaspor;0;Kiral?k
Süleyman Lu?;Galatasaray;?anl?urfaspor;0;Kiral?k
Erkan Süer;Galatasaray;?anl?urfaspor;0;Kiral?k
Berk Balaban;Galatasaray;Ankaraspor;0;Kiral?k
Ahmet Çal?k;Galatasaray;Konyaspor;0;Sat?n Alma
Ferhan Evren;Galatasaray;Afjet Afyonspor;0;Kiral?k
Abdussamed Karnucu;Galatasaray;Tarsus ?dman Yurdu;0;Kiral?k
Adem Büyük;Galatasaray;Yeni Malatyaspor;0;Sat?n Alma
Ercan ?irin;Galatasaray;Serik Belediye;0;Kiral?k
Emirhan Civelek;Galatasaray;Sakaryaspor;0;Kiral?k
Yuto Nagatomo;Galatasaray;Olimpik Marsilya;0;Sat?n Alma
Gökay Güney;Galatasaray;Band?rmaspor;0;Kiral?k
Yunus Akgün;Galatasaray;Adana Demirspor;0;Kiral?k
Mariano;Galatasaray;Clube Atlético Mineiro;0;Sat?n Alma
Selçuk ?nan;Galatasaray;Kulüpsüz;0;Emeklilik
